Issue Type,Issue ID,Parent ID,Summary,Description,Epic Name,Prioridad MoSCoW,Fuente del requisito,Estado de verificación,Labels,Labels,Labels,Labels
Story,52,4,RF-14 — Conteo georreferenciado de flores polinizadas,"El sistema debe calcular automáticamente, a partir de las marcaciones georreferenciadas registradas durante la jornada, el número de flores polinizadas por cada persona trabajadora, sin requerir el ingreso manual planta por planta.  ||  HISTORIA HU-11: Como polinizador, quiero que el conteo de flores se calcule solo, para no perder rendimiento anotando planta por planta.  ||  ENTRADAS/SALIDAS: Entrada: marcaciones georreferenciadas de la jornada. Salida: total diario de flores polinizadas por persona y lote.  ||  PRE/POST: Pre: sesión iniciada con rastreo GPS activo. Post: el conteo queda registrado sin intervención manual por planta.  ||  CRITERIO DE VERIFICACIÓN (§3.2): Al cierre de la jornada, el sistema calcula el total de flores polinizadas por persona a partir de las marcaciones GPS, sin registro manual individual.",,Must,Polinizador - EV-03,Pendiente de verificación,Bloque-IV,CU:CU-03,MU:MU-06,PRUEBA:CP-14
Sub-task,53,52,"HU-11/CA-11 — Verificar criterio de aceptación (Gherkin, §5.2 del ERS)","CA-11: Dado que trabajé la jornada con rastreo activo, cuando cierro la jornada, entonces el sistema calcula el total de flores a partir de las marcaciones y no me solicita ningún registro manual por planta.",,Must,Polinizador - EV-03,Pendiente de verificación,Bloque-IV,PRUEBA:CP-14,,
Sub-task,54,52,RF-14 — Verificar criterio de verificación de la ficha (§3.2 del ERS),"Al cierre de la jornada, el sistema calcula el total de flores polinizadas por persona a partir de las marcaciones GPS, sin registro manual individual.",,Must,Polinizador - EV-03,Pendiente de verificación,Bloque-IV,PRUEBA:CP-14,,
Story,55,4,RF-15 — Registro y visualización de recorridos del personal,"El sistema debe registrar y mostrar los recorridos georreferenciados del personal en campo, con el fin de verificar la cobertura efectiva de las labores asignadas.  ||  ENTRADAS/SALIDAS: Entrada: secuencia de ubicaciones durante la jornada. Salida: recorrido representado sobre el mapa del lote, por persona y fecha.  ||  PRE/POST: Pre: la persona trabajadora ha otorgado consentimiento para el tratamiento de datos de geolocalización (véase RL-03). Post: el recorrido queda disponible para supervisión.  ||  CRITERIO DE VERIFICACIÓN (§3.2): La administración puede visualizar el recorrido de una persona trabajadora en una fecha determinada, siempre que exista consentimiento vigente.",,Should,"Administrador general - EV-01, EV-02, EV-03",Pendiente de verificación,Bloque-IV,CU:CU-03,MU:MU-06,PRUEBA:CP-15
Story,56,4,RF-16 — Evaluación de desempeño del personal,"El sistema debe calcular indicadores de desempeño por persona trabajadora a partir del avance registrado, la cobertura de los recorridos y la calidad resultante de la fruta cosechada en los lotes bajo su responsabilidad.  ||  ENTRADAS/SALIDAS: Entrada: registros de avance, recorridos y calificaciones de calidad del período. Salida: indicador de desempeño por persona y período.  ||  PRE/POST: Pre: existen registros suficientes en el período. Post: el indicador queda disponible para consulta de la administración.  ||  CRITERIO DE VERIFICACIÓN (§3.2): Para un período dado, el sistema calcula un indicador de desempeño por persona a partir de sus registros, sin intervención manual.",,Should,"Administrador general - EV-01, EV-02, EV-03",Pendiente de verificación,Bloque-IV,CU:CU-05,MU:MU-07,PRUEBA:CP-16
Story,57,5,RF-07 — Detección de plagas y enfermedades por análisis de imagen,"El sistema debe analizar una fotografía de la palma e identificar la presencia de plagas o enfermedades, indicando el tipo probable de afectación.  ||  HISTORIA HU-06: Como asistente de administración, quiero fotografiar una palma afectada y obtener el diagnóstico, para identificar la plaga sin depender de conocimiento especializado.  ||  ENTRADAS/SALIDAS: Entrada: fotografía de la palma o de la hoja. Salida: clasificación de la afectación con nivel de confianza y explicación asociada (véase RNF-16).  ||  PRE/POST: Pre: la imagen cumple los requisitos mínimos de calidad. Post: el diagnóstico queda asociado al lote y a la fecha.  ||  CRITERIO DE VERIFICACIÓN (§3.2): Ante un conjunto de imágenes de prueba con afectación previamente conocida, el sistema devuelve la clasificación correspondiente y la registra con su lote y fecha.",,Must,"Técnico fitosanitario / Trabajador agrícola - EV-01, EV-02, EV-08",Pendiente de verificación,Bloque-V,CU:CU-01,MU:MU-03,PRUEBA:CP-07
Sub-task,58,57,"HU-06/CA-06 — Verificar criterio de aceptación (Gherkin, §5.2 del ERS)","CA-06: Dado que capturo la imagen de una palma con afectación conocida, cuando solicito el análisis, entonces el sistema devuelve la clase, el nivel de confianza y una explicación de no más de 60 palabras y registra el diagnóstico con lote y fecha.",,Must,"Técnico fitosanitario / Trabajador agrícola - EV-01, EV-02, EV-08",Pendiente de verificación,Bloque-V,PRUEBA:CP-07,,
Sub-task,59,57,RF-07 — Verificar criterio de verificación de la ficha (§3.2 del ERS),"Ante un conjunto de imágenes de prueba con afectación previamente conocida, el sistema devuelve la clasificación correspondiente y la registra con su lote y fecha.",,Must,"Técnico fitosanitario / Trabajador agrícola - EV-01, EV-02, EV-08",Pendiente de verificación,Bloque-V,PRUEBA:CP-07,,
Story,60,5,RF-08 — Diagnóstico de deficiencias nutricionales por análisis de imagen,"El sistema debe analizar la fotografía de una hoja y estimar la deficiencia nutricional presente, sugiriendo la corrección correspondiente.  ||  HISTORIA HU-07: Como asesor técnico, quiero fotografiar una hoja y conocer la deficiencia nutricional, para decidir qué aplicar sin esperar el análisis de laboratorio.  ||  ENTRADAS/SALIDAS: Entrada: fotografía de la hoja. Salida: deficiencia estimada, recomendación de fertilización y explicación asociada.  ||  PRE/POST: Pre: imagen válida y lote con variedad asignada. Post: el diagnóstico nutricional queda registrado en el historial del lote.  ||  CRITERIO DE VERIFICACIÓN (§3.2): Ante una hoja con deficiencia previamente conocida, el sistema indica la deficiencia, propone una corrección y almacena el registro.",,Must,"Administrador / Asesor técnico - EV-02, EV-04",Pendiente de verificación,Bloque-V,CU:CU-02,MU:MU-03,PRUEBA:CP-08
Sub-task,61,60,"HU-07/CA-07 — Verificar criterio de aceptación (Gherkin, §5.2 del ERS)","CA-07: Dado el lote con variedad asignada, cuando envío la imagen de una hoja con deficiencia conocida, entonces el sistema indica el elemento deficiente, propone una corrección y explica qué signo foliar la sustenta.",,Must,"Administrador / Asesor técnico - EV-02, EV-04",Pendiente de verificación,Bloque-V,PRUEBA:CP-08,,
Sub-task,62,60,RF-08 — Verificar criterio de verificación de la ficha (§3.2 del ERS),"Ante una hoja con deficiencia previamente conocida, el sistema indica la deficiencia, propone una corrección y almacena el registro.",,Must,"Administrador / Asesor técnico - EV-02, EV-04",Pendiente de verificación,Bloque-V,PRUEBA:CP-08,,
Story,63,5,RF-09 — Ficha técnica de plaga con recomendación de control,"El sistema debe presentar, para cada plaga detectada, su especie o familia, su ciclo de evolución y la acción de control recomendada según la etapa del insecto.  ||  ENTRADAS/SALIDAS: Entrada: plaga identificada por RF-07. Salida: ficha con especie, ciclo y acción recomendada diferenciada por etapa.  ||  PRE/POST: Pre: existe un diagnóstico de plaga. Post: la recomendación queda disponible y registrada junto al diagnóstico.  ||  CRITERIO DE VERIFICACIÓN (§3.2): Para una plaga detectada en estado adulto, el sistema recomienda trampeo; para la misma plaga en estado larval, recomienda aplicación de insecticida.",,Should,"Técnico fitosanitario - EV-01, EV-02",Pendiente de verificación,Bloque-V,CU:CU-01,MU:MU-03,PRUEBA:CP-09
Story,64,5,RF-21 — Clasificación de madurez del racimo por desprendimiento,"El sistema debe estimar el estado de madurez de un racimo a partir de una fotografía de su parte basal, empleando el conteo de frutos desprendidos como criterio y aplicando el umbral correspondiente a la variedad del lote. El sistema no debe emplear el color del fruto como criterio de clasificación.  ||  HISTORIA HU-14: Como cosechador, quiero saber si un racimo está en punto de corte, para no cortar fruta verde que será penalizada.  ||  ENTRADAS/SALIDAS: Entrada: fotografía de la parte basal del racimo y variedad del lote. Salida: estado estimado (verde, maduro, sobremaduro) con nivel de confianza y explicación.  ||  PRE/POST: Pre: el lote tiene variedad asignada (RF-10). Post: la estimación queda asociada al racimo, el lote y la fecha.  ||  CRITERIO DE VERIFICACIÓN (§3.2): Para un lote de variedad híbrida, un racimo con menos de 5 frutos desprendidos se clasifica como verde; con 5 o más, como maduro. Para variedad guineensis el umbral aplicado es de 3.",,Must,"Técnico de la extractora / Cosechador - EV-04, EV-08",Pendiente de verificación,Bloque-V,CU:CU-06,MU:MU-03,PRUEBA:CP-21
Sub-task,65,64,"HU-14/CA-14 — Verificar criterio de aceptación (Gherkin, §5.2 del ERS)","CA-14: Dado un lote híbrido, cuando fotografío la parte basal de un racimo con 4 frutos desprendidos, entonces el sistema lo clasifica como verde y explica que el umbral de la variedad es de 5.",,Must,"Técnico de la extractora / Cosechador - EV-04, EV-08",Pendiente de verificación,Bloque-V,PRUEBA:CP-21,,
Sub-task,66,64,RF-21 — Verificar criterio de verificación de la ficha (§3.2 del ERS),"Para un lote de variedad híbrida, un racimo con menos de 5 frutos desprendidos se clasifica como verde; con 5 o más, como maduro. Para variedad guineensis el umbral aplicado es de 3.",,Must,"Técnico de la extractora / Cosechador - EV-04, EV-08",Pendiente de verificación,Bloque-V,PRUEBA:CP-21,,
Story,67,5,RF-12 — Generación de alertas tempranas,"El sistema debe generar alertas ante la detección de plagas, enfermedades, deficiencias nutricionales o condiciones anómalas, dirigidas al rol responsable de su atención.  ||  HISTORIA HU-09: Como administrador general, quiero recibir alertas ante una afectación detectada, para intervenir antes de que se propague.  ||  ENTRADAS/SALIDAS: Entrada: diagnóstico o incidencia registrada. Salida: alerta con lote, tipo, criticidad y fecha, visible para el rol correspondiente.  ||  PRE/POST: Pre: existe una incidencia o diagnóstico positivo. Post: la alerta queda registrada con estado abierto hasta su atención.  ||  CRITERIO DE VERIFICACIÓN (§3.2): Al registrarse un diagnóstico positivo, el sistema genera una alerta asociada al lote, visible para la administración, con estado y fecha.",,Must,"Técnico / Administrador general - EV-01, EV-02",Pendiente de verificación,Bloque-V,CU:CU-16,MU:MU-08,PRUEBA:CP-12
Sub-task,68,67,"HU-09/CA-09 — Verificar criterio de aceptación (Gherkin, §5.2 del ERS)","CA-09: Dado un diagnóstico positivo registrado, cuando se completa el análisis, entonces se crea una alerta con lote, tipo, criticidad y estado abierto y resulta visible para el rol responsable.",,Must,"Técnico / Administrador general - EV-01, EV-02",Pendiente de verificación,Bloque-V,PRUEBA:CP-12,,
Sub-task,69,67,RF-12 — Verificar criterio de verificación de la ficha (§3.2 del ERS),"Al registrarse un diagnóstico positivo, el sistema genera una alerta asociada al lote, visible para la administración, con estado y fecha.",,Must,"Técnico / Administrador general - EV-01, EV-02",Pendiente de verificación,Bloque-V,PRUEBA:CP-12,,
Story,70,6,RF-22 — Estimación y alerta preventiva de porcentaje de fruta verde,"El sistema debe estimar, antes del despacho de un lote cosechado, el porcentaje de racimos clasificados como verdes, y emitir una alerta cuando dicho porcentaje se aproxime al umbral a partir del cual la planta extractora aplica penalización.  ||  HISTORIA HU-15: Como administrador general, quiero conocer el porcentaje estimado de fruta verde antes de despachar, para evitar la penalización del lote en la planta extractora.  ||  ENTRADAS/SALIDAS: Entrada: clasificaciones de madurez del lote cosechado (RF-21). Salida: porcentaje estimado de fruta verde y alerta si supera el umbral configurado.  ||  PRE/POST: Pre: existen racimos clasificados en el lote. Post: la alerta queda registrada antes del despacho.  ||  CRITERIO DE VERIFICACIÓN (§3.2): Configurado un umbral del 3%, un lote cuya estimación de fruta verde alcance o supere ese valor genera una alerta previa al despacho.",,Must,"Administrador general / Técnico de la extractora - EV-04, EV-08",Pendiente de verificación,Bloque-VI,CU:CU-06,MU:MU-08,PRUEBA:CP-22
Sub-task,71,70,"HU-15/CA-15 — Verificar criterio de aceptación (Gherkin, §5.2 del ERS)","CA-15: Dado un umbral de penalización del 3%, cuando el porcentaje estimado del lote alcanza ese valor, entonces el sistema emite alerta preventiva y desaconseja el despacho.",,Must,"Administrador general / Técnico de la extractora - EV-04, EV-08",Pendiente de verificación,Bloque-VI,PRUEBA:CP-22,,
Sub-task,72,70,RF-22 — Verificar criterio de verificación de la ficha (§3.2 del ERS),"Configurado un umbral del 3%, un lote cuya estimación de fruta verde alcance o supere ese valor genera una alerta previa al despacho.",,Must,"Administrador general / Técnico de la extractora - EV-04, EV-08",Pendiente de verificación,Bloque-VI,PRUEBA:CP-22,,
Story,73,6,RF-23 — Registro de la calificación de calidad emitida por la extractora,"El sistema debe permitir registrar los datos del ticket de pesaje emitido por la planta extractora: peso bruto, tara, peso neto y calificación de calidad (tamaño del fruto, fruta verde, sobremadura, malformada y pedúnculo largo).  ||  ENTRADAS/SALIDAS: Entrada: datos del ticket de pesaje. Salida: registro de entrega asociado al lote y a la fecha, con su calificación.  ||  PRE/POST: Pre: existe un despacho registrado. Post: la calificación queda asociada al lote de origen y disponible para análisis histórico.  ||  CRITERIO DE VERIFICACIÓN (§3.2): Registrado un ticket, sus valores quedan asociados al lote de origen y son consultables en el histórico de entregas.",,Should,Administrador general - EV-04,Pendiente de verificación,Bloque-VI,CU:CU-10,MU:MU-07,PRUEBA:CP-23
Story,74,6,RF-24 — Trazabilidad de la calificación hasta la cuadrilla responsable,"El sistema debe permitir rastrear una calificación desfavorable de la extractora hasta el lote de origen, la fecha de corte y la cuadrilla de cosecha responsable, con el fin de distinguir si el problema proviene de la cosecha o del manejo del cultivo.  ||  ENTRADAS/SALIDAS: Entrada: identificación del despacho calificado. Salida: lote, fecha de corte, cuadrilla y labores asociadas al período.  ||  PRE/POST: Pre: el despacho tiene calificación registrada y el lote tiene labores registradas. Post: se muestra la cadena completa de trazabilidad.  ||  CRITERIO DE VERIFICACIÓN (§3.2): Dado un despacho con penalización por fruta verde, el sistema identifica el lote, la fecha de corte y la cuadrilla que ejecutó la cosecha.",,Should,"Técnico de la extractora / Administrador general - EV-04, EV-08",Pendiente de verificación,Bloque-VI,CU:CU-10,MU:MU-07,PRUEBA:CP-24
Story,75,6,RF-25 — Control de la ventana entre corte y entrega,"El sistema debe registrar la fecha y hora de corte de cada lote cosechado y calcular el tiempo transcurrido hasta la entrega en la planta extractora, emitiendo una advertencia cuando dicho intervalo supere el valor recomendado para la variedad.  ||  ENTRADAS/SALIDAS: Entrada: marca temporal de corte y de entrega. Salida: intervalo calculado y advertencia si excede el umbral configurado.  ||  PRE/POST: Pre: existe un registro de cosecha con marca temporal. Post: el intervalo queda registrado junto al despacho.  ||  CRITERIO DE VERIFICACIÓN (§3.2): Configurado un umbral de 24 horas, un despacho entregado 30 horas después del corte genera la advertencia correspondiente.",,Should,Técnico de la extractora - EV-04,Pendiente de verificación,Bloque-VI,CU:CU-10,MU:MU-07,PRUEBA:CP-25
Story,76,6,RF-33 — Registro de la guía de remisión del despacho,"El sistema debe permitir registrar el número y la fecha de la guía de remisión asociada a cada despacho de fruta, y advertir cuando un despacho se registre sin ella.  ||  ENTRADAS/SALIDAS: Entrada: número y fecha de la guía de remisión. Salida: despacho con guía asociada, o advertencia de ausencia.  ||  PRE/POST: Pre: existe un despacho registrado. Post: la guía queda vinculada al despacho.  ||  CRITERIO DE VERIFICACIÓN (§3.2): Un despacho registrado sin número de guía de remisión genera una advertencia visible para la administración antes de su cierre.",,Could,Técnico de la extractora - EV-04,Pendiente de verificación,Bloque-VI,CU:CU-10,MU:MU-07,PRUEBA:CP-33
Story,77,7,RF-18 — Estimación de producción y rendimiento,"El sistema debe estimar la producción futura a partir del censo de flores, el número de racimos en desarrollo y el rendimiento propio de la variedad sembrada.  ||  HISTORIA HU-12: Como administrador general, quiero estimar la producción del período, para planificar la cosecha y la mano de obra necesaria.  ||  ENTRADAS/SALIDAS: Entrada: censo de flores, conteo de racimos y variedad. Salida: estimación de producción por lote y período.  ||  PRE/POST: Pre: existe al menos un censo registrado. Post: la estimación queda disponible para la planificación.  ||  CRITERIO DE VERIFICACIÓN (§3.2): A partir de un censo y de la variedad del lote, el sistema calcula una estimación de producción consultable por lote y período.",,Must,"Administrador general / Asesor técnico - EV-01, EV-02",Pendiente de verificación,Bloque-VII,CU:CU-17,MU:MU-07,PRUEBA:CP-18
Sub-task,78,77,"HU-12/CA-12 — Verificar criterio de aceptación (Gherkin, §5.2 del ERS)","CA-12: Dado un censo de flores registrado y la variedad del lote, cuando solicito la estimación, entonces el sistema devuelve el tonelaje estimado del período y el supuesto de rendimiento empleado.",,Must,"Administrador general / Asesor técnico - EV-01, EV-02",Pendiente de verificación,Bloque-VII,PRUEBA:CP-18,,
Sub-task,79,77,RF-18 — Verificar criterio de verificación de la ficha (§3.2 del ERS),"A partir de un censo y de la variedad del lote, el sistema calcula una estimación de producción consultable por lote y período.",,Must,"Administrador general / Asesor técnico - EV-01, EV-02",Pendiente de verificación,Bloque-VII,PRUEBA:CP-18,,
Story,80,7,RF-32 — Compartición de la estimación de cosecha con la planta extractora,"El sistema debe permitir exportar la estimación de cosecha del período hacia la planta extractora, limitando la información compartida al conteo de racimos y al peso promedio estimado, con exclusión de cualquier dato personal o económico.  ||  ENTRADAS/SALIDAS: Entrada: período y lotes seleccionados. Salida: archivo estructurado con conteo de racimos y peso promedio estimado.  ||  PRE/POST: Pre: existe una estimación calculada. Post: el archivo queda disponible para su envío, sin contener datos personales.  ||  CRITERIO DE VERIFICACIÓN (§3.2): El archivo exportado contiene exclusivamente conteo de racimos y peso promedio por período, y no incluye ningún campo de identificación personal ni información económica.",,Should,Técnico de la extractora - EV-04,Pendiente de verificación,Bloque-VII,CU:CU-17,MU:MU-07,PRUEBA:CP-32
Story,81,7,RF-19 — Generación de reportes,"El sistema debe generar reportes diarios, consolidados semanales y estadísticas anuales sobre el estado del cultivo, las labores ejecutadas, el personal y la producción.  ||  HISTORIA HU-13: Como administrador general, quiero generar el consolidado semanal, para tomar decisiones sin recopilar reportes dispersos de mensajería.  ||  ENTRADAS/SALIDAS: Entrada: tipo de reporte y período. Salida: reporte consolidado, exportable a PDF y a hoja de cálculo.  ||  PRE/POST: Pre: existen registros en el período seleccionado. Post: el reporte queda disponible para consulta o exportación.  ||  CRITERIO DE VERIFICACIÓN (§3.2): El sistema genera el consolidado semanal de labores y producción del período seleccionado y permite exportarlo.",,Must,"Administrador general - EV-01, EV-02, EV-11",Pendiente de verificación,Bloque-VII,CU:CU-05,MU:MU-07,PRUEBA:CP-19
Sub-task,82,81,"HU-13/CA-13 — Verificar criterio de aceptación (Gherkin, §5.2 del ERS)","CA-13: Dado que existen registros en la semana, cuando genero el reporte, entonces obtengo labores, avance, producción y alertas del período y puedo exportarlo a PDF o a hoja de cálculo.",,Must,"Administrador general - EV-01, EV-02, EV-11",Pendiente de verificación,Bloque-VII,PRUEBA:CP-19,,
Sub-task,83,81,RF-19 — Verificar criterio de verificación de la ficha (§3.2 del ERS),El sistema genera el consolidado semanal de labores y producción del período seleccionado y permite exportarlo.,,Must,"Administrador general - EV-01, EV-02, EV-11",Pendiente de verificación,Bloque-VII,PRUEBA:CP-19,,
Story,84,7,"RF-20 — Historial de actividades, diagnósticos y eventos","El sistema debe mantener un historial consultable y filtrable de todas las actividades, diagnósticos, alertas y entregas asociadas a cada lote.  ||  ENTRADAS/SALIDAS: Entrada: filtros por lote, fecha y tipo de evento. Salida: historial cronológico filtrado.  ||  PRE/POST: Pre: existen registros previos. Post: se muestra el historial conforme a los filtros aplicados.  ||  CRITERIO DE VERIFICACIÓN (§3.2): La persona usuaria puede recuperar, filtrando por lote y rango de fechas, el historial completo de actividades y diagnósticos registrados.",,Should,Administrador general / Técnico - EV-01,Pendiente de verificación,Bloque-VII,CU:CU-05,MU:MU-05,PRUEBA:CP-20
